Query date	Label	ID	Origin	Destination	Date	Price	Flight number	Flight string	Price Updated
2024-07-02 23:52:10	TFS verano 24	41	PSA	TFS	2024-08-13T11:25:00	162.99	FR7476	FR~7476~ ~~PSA~08/13/2024 11:25~TFS~08/13/2024 14:55~~	1719912828000
2024-07-02 23:52:10	TFS verano 24	42	PSA	TFS	2024-08-20T11:25:00	59.99	FR7476	FR~7476~ ~~PSA~08/20/2024 11:25~TFS~08/20/2024 14:55~~	1719912866000
2024-07-02 23:52:10	TFS verano 24	43	TFS	PSA	2024-08-27T05:45:00	205.25	FR7477	FR~7477~ ~~TFS~08/27/2024 05:45~PSA~08/27/2024 11:00~~	1719912916000
2024-07-02 23:52:10	TFS verano 24	44	TFS	PSA	2024-09-03T05:45:00	162.99	FR7477	FR~7477~ ~~TFS~09/03/2024 05:45~PSA~09/03/2024 11:00~~	1719902634000
2024-07-02 23:52:10	FUE-PSA 0824	45	FUE	PSA	2024-08-29T09:50:00	270.17	FR9423	FR~9423~ ~~FUE~08/29/2024 09:50~PSA~08/29/2024 14:45~~	1719949723000
2024-07-02 23:52:10	FUE-PSA 0924	46	FUE	PSA	2024-09-05T09:50:00	182.99	FR9423	FR~9423~ ~~FUE~09/05/2024 09:50~PSA~09/05/2024 14:45~~	1719952578000
2024-07-02 23:52:10	TFS 24-25	51	Err	Err	Err	Err	Err	Err	Err
2024-07-02 23:52:10	TFS 24-25	52	PSA	TFS	2024-12-29T05:50:00	267.49	FR7476	FR~7476~ ~~PSA~12/29/2024 05:50~TFS~12/29/2024 09:25~~	1719817890000
2024-07-02 23:52:10	TFS 24-25	53	TFS	PSA	2025-01-05T10:00:00	342.77	FR7477	FR~7477~ ~~TFS~01/05/2025 10:00~PSA~01/05/2025 15:10~~	1719902584000
2024-07-02 23:52:10	TFS 24-25	54	Err	Err	Err	Err	Err	Err	Err
2024-07-02 23:52:10	BLQ-TFS 24-25	55	Err	Err	Err	Err	Err	Err	Err
2024-07-02 23:52:10	BLQ-TFS 24-25	56	BLQ	TFS	2024-12-28T06:20:00	392.73	FR3896	FR~3896~ ~~BLQ~12/28/2024 06:20~TFS~12/28/2024 10:05~~	1719903016000
2024-07-02 23:52:10	BLQ-TFS 24-25	57	TFS	BLQ	2025-01-07T11:20:00	307.67	FR3897	FR~3897~ ~~TFS~01/07/2025 11:20~BLQ~01/07/2025 16:40~~	1719218598000
2024-07-02 23:52:10	BLQ-TFS 24-25	58	Err	Err	Err	Err	Err	Err	Err
2024-07-02 23:52:10	TFS 24-25	59	PSA	TFS	2024-12-22T05:50:00	288.45	FR7476	FR~7476~ ~~PSA~12/22/2024 05:50~TFS~12/22/2024 09:25~~	1719902488000
2024-07-02 23:52:10	TFS 24-25	60	Err	Err	Err	Err	Err	Err	Err
2024-07-02 23:52:10	TFS 24-25	61	TFS	PSA	2024-12-29T10:00:00	102.99	FR7477	FR~7477~ ~~TFS~12/29/2024 10:00~PSA~12/29/2024 15:10~~	1719816202000
2024-07-03 01:47:09	TFS verano 24	41	PSA	TFS	2024-08-13T11:25:00	162.99	FR7476	FR~7476~ ~~PSA~08/13/2024 11:25~TFS~08/13/2024 14:55~~	1719912828000
2024-07-03 01:47:09	TFS verano 24	42	PSA	TFS	2024-08-20T11:25:00	68.99	FR7476	FR~7476~ ~~PSA~08/20/2024 11:25~TFS~08/20/2024 14:55~~	1719960974000
2024-07-03 01:47:09	TFS verano 24	43	TFS	PSA	2024-08-27T05:45:00	236.45	FR7477	FR~7477~ ~~TFS~08/27/2024 05:45~PSA~08/27/2024 11:00~~	1719961192000
2024-07-03 01:47:09	TFS verano 24	44	TFS	PSA	2024-09-03T05:45:00	162.99	FR7477	FR~7477~ ~~TFS~09/03/2024 05:45~PSA~09/03/2024 11:00~~	1719902634000
2024-07-03 01:47:09	FUE-PSA 0824	45	FUE	PSA	2024-08-29T09:50:00	270.17	FR9423	FR~9423~ ~~FUE~08/29/2024 09:50~PSA~08/29/2024 14:45~~	1719949723000
2024-07-03 01:47:09	FUE-PSA 0924	46	FUE	PSA	2024-09-05T09:50:00	182.99	FR9423	FR~9423~ ~~FUE~09/05/2024 09:50~PSA~09/05/2024 14:45~~	1719952578000
2024-07-03 01:47:09	TFS 24-25	51	Err	Err	Err	Err	Err	Err	Err
2024-07-03 01:47:09	TFS 24-25	52	PSA	TFS	2024-12-29T05:50:00	267.49	FR7476	FR~7476~ ~~PSA~12/29/2024 05:50~TFS~12/29/2024 09:25~~	1719817890000
2024-07-03 01:47:09	TFS 24-25	53	TFS	PSA	2025-01-05T10:00:00	342.77	FR7477	FR~7477~ ~~TFS~01/05/2025 10:00~PSA~01/05/2025 15:10~~	1719902584000
2024-07-03 01:47:09	TFS 24-25	54	Err	Err	Err	Err	Err	Err	Err
2024-07-03 01:47:09	BLQ-TFS 24-25	55	Err	Err	Err	Err	Err	Err	Err
